timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Wed Sep  1 00:00:04 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:01:04 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:02:05 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:03:06 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:04:06 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:05:07 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:06:07 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:07:08 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:08:09 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:09:09 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:10:10 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:11:10 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:12:11 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:13:12 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:14:12 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:15:13 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:16:13 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:17:14 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:18:14 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:19:15 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:20:16 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:21:16 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:22:17 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:23:17 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:24:18 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:25:19 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:26:19 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:27:20 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:28:20 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:29:21 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:30:22 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:31:22 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:32:23 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:33:23 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:34:24 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:35:25 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:36:25 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:37:26 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:38:26 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:39:27 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:40:28 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:41:28 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:42:29 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:43:29 2021, 0, 2700, 0, 6, 3630, 0, 7, 525, 0, 0, 0
Wed Sep  1 00:44:30 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:45:31 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:46:31 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:47:32 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:48:32 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:49:33 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:50:34 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:51:34 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:52:35 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:53:35 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:54:36 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:55:37 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:56:37 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:57:38 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:58:38 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 00:59:39 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:00:39 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:01:40 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:02:40 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:03:41 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:04:42 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:05:42 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:06:43 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:07:43 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:08:44 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:09:44 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:10:45 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:11:46 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:12:46 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:13:47 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:14:47 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:15:48 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:16:49 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:17:49 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:18:50 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:19:50 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:20:51 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:21:52 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:22:52 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:23:53 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:24:53 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:25:54 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:26:55 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:27:55 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:28:56 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:29:56 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:30:57 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:31:58 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:32:58 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:33:59 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:34:59 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:36:00 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:37:01 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:38:01 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:39:02 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:40:02 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:41:03 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:42:03 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:43:04 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:44:04 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:45:05 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:46:05 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:47:06 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:48:06 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:49:07 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:50:07 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:51:08 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Wed Sep  1 01:52:08 2021, 0, 2700, 0, 6, 3630, 0, 7, 600, 0, 0, 0
