time,circuit-breaker-total-power,evse-circuit-breaker-total-power,circuit-breaker-energy,evse-circuit-breaker-energy
2021-08-17 00:55:00,1.78E-07,0,1.48E-08,0
2021-08-17 01:00:00,0,0,1.48E-08,0
2021-08-17 01:05:00,0,0,1.48E-08,0
2021-08-17 01:10:00,0,0,1.48E-08,0
2021-08-17 01:15:00,0,0,1.48E-08,0
2021-08-17 01:20:00,0,0,1.48E-08,0
2021-08-17 01:25:00,0,0,1.48E-08,0
2021-08-17 01:30:00,0,0,1.48E-08,0
2021-08-17 01:35:00,0,0,1.48E-08,0
2021-08-17 01:40:00,0,0,1.48E-08,0
2021-08-17 01:45:00,0,0,1.48E-08,0
2021-08-17 01:50:00,0,0,1.48E-08,0
2021-08-17 01:55:00,0,0,1.48E-08,0
2021-08-17 02:00:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:05:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:10:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:15:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:20:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:25:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:30:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:35:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:40:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:45:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:50:00,7.41E-07,0,7.65E-08,0
2021-08-17 02:55:00,6.78347E-06,0,6.42E-07,0
2021-08-17 03:00:00,0,0,6.42E-07,0
2021-08-17 03:05:00,0,0,6.42E-07,0
2021-08-17 03:10:00,0,0,6.42E-07,0
2021-08-17 03:15:00,0,0,6.42E-07,0
2021-08-17 03:20:00,0,0,6.42E-07,0
2021-08-17 03:25:00,0,0,6.42E-07,0
2021-08-17 03:30:00,0,0,6.42E-07,0
2021-08-17 03:35:00,0,0,6.42E-07,0
2021-08-17 03:40:00,0,0,6.42E-07,0
2021-08-17 03:45:00,0,0,6.42E-07,0
2021-08-17 03:50:00,0,0,6.42E-07,0
2021-08-17 03:55:00,0,0,6.42E-07,0
2021-08-17 04:00:00,0,0,6.42E-07,0
2021-08-17 04:05:00,0,0,6.42E-07,0
2021-08-17 04:10:00,0,0,6.42E-07,0
2021-08-17 04:15:00,0,0,6.42E-07,0
2021-08-17 04:20:00,8.63361E-06,0,1.36131E-06,0
2021-08-17 04:25:00,0,0,1.36131E-06,0
2021-08-17 04:30:00,0,0,1.36131E-06,0
2021-08-17 04:35:00,0,0,1.36131E-06,0
2021-08-17 04:40:00,0,0,1.36131E-06,0
2021-08-17 04:45:00,0,0,1.36131E-06,0
2021-08-17 04:50:00,0,0,1.36131E-06,0
2021-08-17 04:55:00,0,0,1.36131E-06,0
2021-08-17 05:00:00,0,0,1.36131E-06,0
2021-08-17 05:05:00,0,0,1.36131E-06,0
2021-08-17 05:10:00,0,0,1.36131E-06,0
2021-08-17 05:15:00,0,0,1.36131E-06,0
2021-08-17 05:20:00,0,0,1.36131E-06,0
2021-08-17 05:25:00,0,0,1.36131E-06,0
2021-08-17 05:30:00,-3.70693E-06,0,1.0524E-06,0
2021-08-17 05:35:00,0,0,1.0524E-06,0
2021-08-17 05:40:00,0,0,1.0524E-06,0
2021-08-17 06:40:00,3.81129E-06,0,1.37E-06,0
2021-08-17 06:45:00,0,0,1.37E-06,0
2021-08-17 06:50:00,0,0,1.37E-06,0
2021-08-17 06:55:00,0,0,1.37E-06,0
2021-08-17 07:00:00,0,0,1.37E-06,0
2021-08-17 07:05:00,0,0,1.37E-06,0
2021-08-17 07:10:00,0,0,1.37E-06,0
2021-08-17 07:15:00,0,0,1.37E-06,0
2021-08-17 07:20:00,0,0,1.37E-06,0
2021-08-17 07:25:00,0,0,1.37E-06,0
2021-08-17 07:30:00,0,0,1.37E-06,0
2021-08-17 07:35:00,0,0,1.37E-06,0
2021-08-17 07:40:00,0,0,1.37E-06,0
2021-08-17 07:45:00,0.016213682,0,0.00135251,0
2021-08-17 07:50:00,0.058570948,0,0.006233422,0
2021-08-17 07:55:00,0.18994558,0,0.022062221,0
2021-08-17 08:00:00,0,0,0.022062221,0
2021-08-17 08:05:00,0,0,0.022062221,0
2021-08-17 08:10:00,0,0,0.022062221,0
2021-08-17 08:15:00,0,0,0.022062221,0
2021-08-17 08:20:00,0,0,0.022062221,0
2021-08-17 08:25:00,0,0,0.022062221,0
2021-08-17 08:30:00,0,0,0.022062221,0
2021-08-17 08:35:00,0,0,0.022062221,0
2021-08-17 08:40:00,0,0,0.022062221,0
2021-08-17 08:45:00,0,0,0.022062221,0
2021-08-17 08:50:00,0,0,0.022062221,0
2021-08-17 08:55:00,0,0,0.022062221,0
2021-08-17 09:00:00,0,0,0.022062221,0
2021-08-17 09:05:00,0,0,0.022062221,0
2021-08-17 09:10:00,0,0,0.022062221,0
2021-08-17 09:15:00,1.031370728,0,0.108009781,0
2021-08-17 09:20:00,0.393121429,0,0.140769901,0
2021-08-17 09:25:00,0.397330002,0,0.173880734,0
2021-08-17 09:30:00,0.401202194,0,0.20731425,0
2021-08-17 09:35:00,0,0,0.20731425,0
2021-08-17 09:40:00,0,0,0.20731425,0
2021-08-17 09:45:00,0,0,0.20731425,0
2021-08-17 09:50:00,0,0,0.20731425,0
2021-08-17 09:55:00,0,0,0.20731425,0
2021-08-17 10:00:00,0,0,0.20731425,0
2021-08-17 10:05:00,0,0,0.20731425,0
2021-08-17 10:10:00,0,0,0.20731425,0
2021-08-17 10:15:00,0,0,0.20731425,0
2021-08-17 10:20:00,0.350927856,0,0.236558238,0
2021-08-17 10:25:00,0,0,0.236558238,0
2021-08-17 10:30:00,0,0,0.236558238,0
2021-08-17 10:35:00,0,0,0.236558238,0
2021-08-17 10:40:00,0,0,0.236558238,0
2021-08-17 10:45:00,0,0,0.236558238,0
2021-08-17 10:50:00,0,0,0.236558238,0
2021-08-17 10:55:00,0,0,0.236558238,0
2021-08-17 11:00:00,0,0,0.236558238,0
2021-08-17 11:05:00,0,0,0.236558238,0
2021-08-17 11:10:00,0,0,0.236558238,0
2021-08-17 11:15:00,0,0,0.236558238,0
2021-08-17 11:20:00,0,0,0.236558238,0
2021-08-17 11:25:00,1.4281E-06,0,0.236558357,0
2021-08-17 11:30:00,0,0,0.236558357,0
2021-08-17 11:35:00,0,0,0.236558357,0
2021-08-17 11:40:00,0,0,0.236558357,0
2021-08-17 11:45:00,0,0,0.236558357,0
2021-08-17 11:50:00,0,0,0.236558357,0
2021-08-17 11:55:00,0,0,0.236558357,0
2021-08-17 12:00:00,0,0,0.236558357,0
2021-08-17 12:05:00,0,0,0.236558357,0
2021-08-17 12:10:00,0,0,0.236558357,0
2021-08-17 12:15:00,0,0,0.236558357,0
2021-08-17 12:20:00,0,0,0.236558357,0
2021-08-17 12:25:00,5.09E-07,0,0.2365584,0
2021-08-17 12:30:00,0,0,0.2365584,0
2021-08-17 12:35:00,0,0,0.2365584,0
2021-08-17 12:40:00,0,0,0.2365584,0
2021-08-17 12:45:00,0,0,0.2365584,0
2021-08-17 12:50:00,0,0,0.2365584,0
2021-08-17 12:55:00,0,0,0.2365584,0
2021-08-17 13:00:00,0,0,0.2365584,0
2021-08-17 13:05:00,0,0,0.2365584,0
2021-08-17 13:10:00,0,0,0.2365584,0
2021-08-17 13:15:00,0,0,0.2365584,0
2021-08-17 13:20:00,0,0,0.2365584,0
2021-08-17 13:25:00,0,0,0.2365584,0
2021-08-17 13:30:00,0,0,0.2365584,0
2021-08-17 13:35:00,2.39251E-06,0,0.236558599,0
2021-08-17 13:40:00,0,0,0.236558599,0
2021-08-17 13:45:00,0,0,0.236558599,0
2021-08-17 13:50:00,0,0,0.236558599,0
2021-08-17 13:55:00,0,0,0.236558599,0
2021-08-17 14:00:00,0,0,0.236558599,0
2021-08-17 14:05:00,0,0,0.236558599,0
2021-08-17 14:10:00,0,0,0.236558599,0
2021-08-17 14:15:00,0,0,0.236558599,0
2021-08-17 14:20:00,0,0,0.236558599,0
2021-08-17 14:25:00,0,0,0.236558599,0
2021-08-17 14:30:00,0,0,0.236558599,0
