time,circuit-breaker-total-power,evse-circuit-breaker-total-power,circuit-breaker-energy,evse-circuit-breaker-energy
2021-08-15 00:05:00,-0.0028010199069976806,0,-0.00023341832558314003,0
2021-08-15 00:10:00,-0.0028074748516082764,0,-0.00046737456321716307,0
2021-08-15 00:15:00,-0.0028388404846191404,0,-0.0007039446036020915,0
2021-08-15 00:20:00,-0.002805844306945801,0,-0.0009377649625142415,0
2021-08-15 00:25:00,-0.0028095824718475343,0,-0.0011718968351682028,0
2021-08-15 00:55:00,-0.0028170255607110448,0,-0.0014066489652274565,0
2021-08-15 01:00:00,-0.0028499040603637694,0,-0.0016441409702577705,0
2021-08-15 01:05:00,-0.002854424238204956,0,-0.0018820096567748502,0
2021-08-15 01:10:00,-0.0027849102020263672,0,-0.0021140855069437144,0
2021-08-15 01:15:00,-0.0027633211612701418,0,-0.0023443622703828927,0
2021-08-15 01:20:00,-0.0027894577980041506,0,-0.002576817086883239,0
2021-08-15 01:50:00,-0.002806496693287045,0,-0.002810691811323826,0
2021-08-15 01:55:00,-0.002787407398223877,0,-0.003042975761175816,0
2021-08-15 02:00:00,-0.002785471439361572,0,-0.0032750983811226137,0
2021-08-15 02:05:00,-0.002785661220550537,0,-0.0035072368161684917,0
2021-08-15 02:10:00,-0.002770946979522705,0,-0.0037381490644620504,0
2021-08-15 02:15:00,-0.002774104356765747,0,-0.003969324427525863,0
2021-08-15 02:20:00,-0.002758913516998291,0,-0.00419923388727572,0
2021-08-15 02:45:00,-0.002693278282880783,0,-0.004423673744182452,0
2021-08-15 02:50:00,-0.0026963808536529543,0,-0.004648372148653532,0
2021-08-15 02:55:00,-0.0027093031406402587,0,-0.004874147410373553,0
2021-08-15 03:00:00,-0.0026964635848999025,0,-0.005098852709115212,0
2021-08-15 03:05:00,-0.0027102625370025637,0,-0.005324707920532092,0
2021-08-15 03:30:00,-0.002737069701543078,0,-0.005552797062327349,0
2021-08-15 03:35:00,-0.002801440477371216,0,-0.0057862504354416165,0
2021-08-15 03:40:00,-0.002799417495727539,0,-0.006019535226752245,0
2021-08-15 03:45:00,-0.0028338305950164795,0,-0.0062556877763369515,0
2021-08-15 03:50:00,-0.0028256919384002685,0,-0.006491162104536974,0
2021-08-15 03:55:00,-0.0028325119018554686,0,-0.006727204763024929,0
2021-08-15 04:25:00,-0.0028221182879060508,0,-0.0069623812870171,0
2021-08-15 04:30:00,-0.0028484504222869873,0,-0.007199752155541016,0
2021-08-15 04:35:00,-0.002846323251724243,0,-0.00743694575985137,0
2021-08-15 05:00:00,-0.0028061427921056746,0,-0.007670790992526842,0
2021-08-15 05:05:00,-0.0028140594959259035,0,-0.007905295950520667,0
2021-08-15 05:10:00,-0.002792400598526001,0,-0.008137996000397834,0
2021-08-15 05:15:00,-0.0027778542041778567,0,-0.00836948385074599,0
2021-08-15 05:20:00,-0.0027754337787628176,0,-0.008600769998976224,0
