timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Sun Aug 15 00:01:13 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:02:14 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:03:15 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:04:15 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:05:16 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:06:16 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:07:17 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:08:18 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:09:18 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:10:19 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:11:19 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:12:20 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:13:21 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:14:21 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:15:22 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:16:23 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:17:23 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:18:24 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:19:24 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:20:25 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:21:26 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:22:26 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:23:27 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:24:27 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:25:28 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:26:29 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:27:29 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:28:30 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:29:30 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:30:31 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:31:32 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:32:32 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:33:33 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:34:33 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:35:34 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:36:34 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:37:35 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:38:36 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:39:36 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:40:37 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:41:37 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:42:38 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:43:39 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:44:39 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:45:40 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:46:40 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:47:41 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:48:42 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:49:42 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:50:43 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:51:43 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:52:44 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:53:45 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:54:45 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:55:46 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:56:46 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:57:47 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:58:48 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 00:59:48 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:00:49 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:01:49 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:02:50 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:03:51 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:04:51 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:05:52 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:06:52 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:07:53 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:08:54 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:09:54 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:10:55 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:11:55 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:12:56 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:13:57 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:14:57 2021, 0, 12075, 0, 6, 3630, 0, 7, 600, 0, 0, 0
Sun Aug 15 01:15:58 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:16:58 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:17:59 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:19:00 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:20:00 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:21:01 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:22:01 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:23:02 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:24:03 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:25:03 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:26:04 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:27:04 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
Sun Aug 15 01:28:05 2021, 0, 12075, 0, 6, 3630, 0, 7, 675, 0, 0, 0
