timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Fri Aug 13 00:00:16 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:01:17 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:02:18 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:03:18 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:04:19 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:05:19 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:06:20 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:07:21 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:08:21 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:09:22 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:10:23 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:11:23 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:12:24 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:13:24 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:14:25 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:15:26 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:16:26 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:17:27 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:18:27 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:19:28 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:20:29 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:21:29 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:22:30 2021,0,2100,0,6,3630,0,7,525,0,0,0
Fri Aug 13 00:23:30 2021,0,2100,0,6,3630,0,7,525,0,0,0
