timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Sun Aug 15 00:00:40 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:01:41 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:02:42 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:03:42 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:04:43 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:05:43 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:06:44 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:07:45 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:08:45 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:09:46 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:10:46 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:11:47 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:12:47 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:13:48 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:14:49 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:15:49 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:16:50 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:17:50 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:18:51 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:19:51 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:20:52 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:21:53 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:22:53 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:23:54 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:24:54 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:25:55 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:26:56 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:27:56 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:28:57 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:29:57 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:30:58 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:31:59 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:32:59 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:34:00 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:35:00 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:36:01 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Sun Aug 15 00:37:02 2021, 0, 1664, 0, 6, 3630, 0, 7, 0, 0, 0, 0
