timestamp,,,,,,,,,,,,timestamp,,available_energy_take,real_power,max_energy_take
2021-07-26 00:00:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:00,0,1275,0,3630
2021-07-26 00:01:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:01,0,1275,0,3630
2021-07-26 00:02:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:02,0,1275,0,3630
2021-07-26 00:03:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:03,0,1275,0,3630
2021-07-26 00:04:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:04,0,1275,0,3630
2021-07-26 00:05:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:05,0,1275,0,3630
2021-07-26 00:06:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:06,0,1275,0,3630
2021-07-26 00:07:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:07,0,1275,0,3630
2021-07-26 00:08:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:08,0,1275,0,3630
2021-07-26 00:09:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:09,0,1275,0,3630
2021-07-26 00:10:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:10,0,1275,0,3630
2021-07-26 00:11:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:11,0,1275,0,3630
2021-07-26 00:12:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:12,0,1275,0,3630
2021-07-26 00:13:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:13,0,1275,0,3630
2021-07-26 00:14:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:14,0,1275,0,3630
2021-07-26 00:15:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:15,0,1275,0,3630
2021-07-26 00:16:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:16,0,1275,0,3630
2021-07-26 00:17:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:17,0,1275,0,3630
2021-07-26 00:18:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:18,0,1275,0,3630
2021-07-26 00:19:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:19,0,1275,0,3630
2021-07-26 00:20:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:20,0,1275,0,3630
2021-07-26 00:21:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:21,0,1275,0,3630
2021-07-26 00:22:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:22,0,1275,0,3630
2021-07-26 00:23:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:23,0,1275,0,3630
2021-07-26 00:24:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:24,0,1275,0,3630
2021-07-26 00:25:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:25,0,1275,0,3630
2021-07-26 00:26:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:26,0,1275,0,3630
2021-07-26 00:27:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:27,0,1275,0,3630
2021-07-26 00:28:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:28,0,1275,0,3630
2021-07-26 00:29:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:29,0,1275,0,3630
2021-07-26 00:30:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:30,0,1275,0,3630
2021-07-26 00:31:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:31,0,1275,0,3630
2021-07-26 00:32:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:32,0,1275,0,3630
2021-07-26 00:33:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:33,0,1275,0,3630
2021-07-26 00:34:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:34,0,1275,0,3630
2021-07-26 00:35:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:35,0,1275,0,3630
2021-07-26 00:36:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:36,0,1275,0,3630
2021-07-26 00:37:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:37,0,1275,0,3630
2021-07-26 00:38:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:38,0,1275,0,3630
2021-07-26 00:39:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:39,0,1275,0,3630
2021-07-26 00:40:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:40,0,1275,0,3630
2021-07-26 00:41:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:41,0,1275,0,3630
2021-07-26 00:42:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:42,0,1275,0,3630
2021-07-26 00:43:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:43,0,1275,0,3630
2021-07-26 00:44:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:44,0,1275,0,3630
2021-07-26 00:45:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:45,0,1275,0,3630
2021-07-26 00:46:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:46,0,1275,0,3630
2021-07-26 00:47:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:47,0,1275,0,3630
2021-07-26 00:48:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:48,0,1275,0,3630
2021-07-26 00:49:00,0,0,0,0,0,1275,3630,0,4,,,7/26/21 0:49,0,1275,0,3630
