time,real-power,reactive-power,power-factor
2021-07-03 00:00:00,0,0,0
2021-07-03 00:04:25,0,0,0
2021-07-03 00:09:26,0,0,0
2021-07-03 00:14:28,0,0,0
2021-07-03 00:19:25,0,0,0
2021-07-03 00:24:26,0,0,0
2021-07-03 00:29:28,0,0,0
2021-07-03 00:34:25,0,0,0
2021-07-03 00:39:26,0,0,0
2021-07-03 00:44:28,0,0,0
2021-07-03 00:49:25,0,0,0
2021-07-03 01:01:31,0.00001315837,0.0001239008,0.10560696718845657
2021-07-03 01:06:33,0,0,0
2021-07-03 01:11:30,0,0,0
2021-07-03 01:16:31,0,0,0
2021-07-03 01:21:34,0,0,0
2021-07-03 01:26:31,0,0,0
2021-07-03 01:31:32,0,0,0
2021-07-03 01:36:34,0,0,0
2021-07-03 01:41:31,0,0,0
2021-07-03 01:46:32,0,0,0
2021-07-03 01:51:34,0,0,0
2021-07-03 01:56:31,0,0,0
2021-07-03 02:01:32,0,0,0
2021-07-03 02:06:34,0,0,0
2021-07-03 02:11:31,0,0,0
2021-07-03 02:16:32,0,0,0
2021-07-03 02:21:34,0,0,0
2021-07-03 02:31:32,0,0,0
2021-07-03 02:36:34,0,0,0
2021-07-03 02:41:31,0,0,0
2021-07-03 02:46:32,0,0,0
2021-07-03 02:51:34,0,0,0
2021-07-03 02:56:31,0,0,0
2021-07-03 03:01:32,0,0,0
2021-07-03 03:06:34,0,0,0
2021-07-03 03:11:31,0,0,0
2021-07-03 03:16:32,0,0,0
2021-07-03 03:21:34,0,0,0
2021-07-03 03:26:31,0,0,0
2021-07-03 03:31:32,0,0,0
2021-07-03 03:36:34,0,0,0
2021-07-03 03:41:31,0,0,0
2021-07-03 03:46:32,0,0,0
2021-07-03 03:51:34,0,0,0
2021-07-03 03:56:31,0,0,0
2021-07-03 04:01:32,0,0,0
2021-07-03 04:06:34,0,0,0
2021-07-03 04:11:31,0,0,0
2021-07-03 04:16:32,0,0,0
2021-07-03 04:21:34,0,0,0
2021-07-03 04:26:30,0,0,0
2021-07-03 04:31:31,0,0,0
2021-07-03 04:36:34,0,0,0
2021-07-03 04:41:31,0,0,0
2021-07-03 04:46:32,0,0,0
2021-07-03 04:51:34,0,0,0
2021-07-03 04:56:31,0,0,0
2021-07-03 05:01:32,0,0,0
2021-07-03 05:06:34,0,0,0
2021-07-03 05:11:31,0,0,0
2021-07-03 05:16:32,0,0,0
2021-07-03 05:21:34,0,0,0
2021-07-03 05:26:31,0,0,0
2021-07-03 05:31:32,0,0,0
2021-07-03 05:36:34,0,0,0
2021-07-03 05:46:39,0.000010031410000000001,0.0001508479,0.06635360841394793
2021-07-03 05:51:41,0,0,0
2021-07-03 05:56:38,0,0,0
2021-07-03 06:01:39,0,0,0
2021-07-03 06:06:41,0,0,0
2021-07-03 06:11:38,0,0,0
2021-07-03 06:16:39,0,0,0
2021-07-03 06:21:41,0,0,0
2021-07-03 06:26:38,0,0,0
2021-07-03 06:31:39,0,0,0
2021-07-03 06:36:41,0,0,0
2021-07-03 06:41:38,0,0,0
2021-07-03 06:46:39,0.357765,0.0008839130000000001,0.9999969479520271
2021-07-03 06:51:41,4.371320000000001,0.01074632,0.9999969782232642
2021-07-03 06:56:38,4.351570000000001,0.01083493,0.9999969002386656
2021-07-03 07:01:39,4.37379,0.01094587,0.9999968684980859
2021-07-03 07:06:41,4.36571,0.01089074,0.9999968884771809
2021-07-03 07:11:38,4.334580000000001,0.010872860000000002,0.9999968539798394
2021-07-03 07:16:39,4.3228100000000005,0.01074996,0.9999969079294696
2021-07-03 07:21:41,2.98107,0.007472909999999999,0.9999968580221928
2021-07-03 07:26:38,0,0,0
2021-07-03 07:31:39,0,0,0
2021-07-03 07:36:41,0,0,0
2021-07-03 07:41:38,0,0,0
2021-07-03 07:46:39,0,0,0
2021-07-03 07:51:41,0,0,0
2021-07-03 07:56:38,0,0,0
2021-07-03 08:01:40,0,0,0
2021-07-03 08:06:42,0,0,0
2021-07-03 08:11:39,0,0,0
2021-07-03 08:16:40,0,0,0
2021-07-03 08:21:42,0,0,0
2021-07-03 08:26:39,0,0,0
2021-07-03 08:31:40,0,0,0
2021-07-03 08:36:42,0,0,0
2021-07-03 08:41:39,0,0,0
2021-07-03 08:46:40,0,0,0
2021-07-03 08:51:42,0,0,0
2021-07-03 09:01:45,-0.0000059321,0.0005062835,0.011716148841211553
2021-07-03 09:06:47,0,0,0
2021-07-03 09:11:44,0,0,0
2021-07-03 09:16:45,0,0,0
2021-07-03 09:21:47,0,0,0
2021-07-03 09:26:44,0,0,0
2021-07-03 09:31:45,0,0,0
2021-07-03 09:36:47,0,0,0
2021-07-03 09:41:44,0,0,0
2021-07-03 09:46:45,0,0,0
2021-07-03 09:51:47,0,0,0
2021-07-03 09:56:44,0,0,0
2021-07-03 10:01:45,0,0,0
2021-07-03 10:06:47,0,0,0
2021-07-03 10:11:45,0,0,0
2021-07-03 10:16:46,0,0,0
2021-07-03 10:21:47,0,0,0
2021-07-03 10:26:44,0,0,0
2021-07-03 10:31:45,0,0,0
2021-07-03 10:36:47,0,0,0
2021-07-03 10:41:44,0,0,0
2021-07-03 10:46:54,0.00001084839,0.000291345,0.03720975902021616
2021-07-03 10:51:56,0,0,0
2021-07-03 10:56:53,0,0,0
2021-07-03 11:01:54,0,0,0
2021-07-03 11:06:56,0,0,0
2021-07-03 11:11:53,0,0,0
2021-07-03 11:16:54,0,0,0
2021-07-03 11:21:56,0,0,0
2021-07-03 11:26:53,0,0,0
2021-07-03 11:31:54,0,0,0
2021-07-03 11:36:56,0,0,0
2021-07-03 11:47:55,-0.00003375261,0.000491857,0.06846180402286922
2021-07-03 12:02:55,0,0,0
2021-07-03 12:07:57,0,0,0
2021-07-03 12:12:54,0,0,0
2021-07-03 12:17:56,0,0,0
2021-07-03 12:22:58,0,0,0
2021-07-03 12:27:55,0,0,0
2021-07-03 12:32:56,0,0,0
2021-07-03 12:37:58,0,0,0
2021-07-03 12:42:55,0,0,0
2021-07-03 12:57:52,0.00001726537,0.0000157123,0.7395879762568087
2021-07-03 13:02:54,0,0,0
2021-07-03 13:07:51,0,0,0
2021-07-03 13:12:52,0,0,0
2021-07-03 13:17:54,0,0,0
2021-07-03 13:22:51,0,0,0
2021-07-03 13:27:52,0,0,0
2021-07-03 13:32:54,0,0,0
2021-07-03 13:37:51,0,0,0
2021-07-03 13:42:52,0,0,0
2021-07-03 13:47:54,0,0,0
2021-07-03 13:52:51,0,0,0
2021-07-03 13:57:52,0,0,0
2021-07-03 14:02:54,0,0,0
2021-07-03 14:07:51,0,0,0
2021-07-03 14:12:52,0,0,0
2021-07-03 14:17:54,0,0,0
2021-07-03 14:22:51,0,0,0
2021-07-03 14:27:52,0,0,0
2021-07-03 14:32:54,0,0,0
2021-07-03 14:37:51,0,0,0
2021-07-03 14:42:52,0,0,0
2021-07-03 14:47:54,0,0,0
2021-07-03 14:52:51,0,0,0
2021-07-03 14:57:53,0,0,0
2021-07-03 15:02:55,0,0,0
2021-07-03 15:07:51,0,0,0
2021-07-03 15:12:53,0,0,0
2021-07-03 15:17:55,0,0,0
2021-07-03 15:22:52,0,0,0
2021-07-03 15:27:53,0,0,0
2021-07-03 15:32:55,0,0,0
2021-07-03 15:37:52,0,0,0
2021-07-03 15:42:53,0,0,0
2021-07-03 15:47:55,0,0,0
2021-07-03 15:52:52,0,0,0
2021-07-03 15:57:53,0,0,0
2021-07-03 16:02:55,0,0,0
2021-07-03 16:07:52,0,0,0
2021-07-03 16:12:53,0,0,0
2021-07-03 16:17:55,0,0,0
2021-07-03 16:22:52,0,0,0
2021-07-03 16:27:53,0,0,0
2021-07-03 16:32:55,0,0,0
2021-07-03 16:37:52,0,0,0
2021-07-03 16:42:53,0,0,0
2021-07-03 16:47:55,0,0,0
2021-07-03 16:52:52,0,0,0
2021-07-03 16:57:53,0,0,0
2021-07-03 17:02:55,0,0,0
2021-07-03 17:07:52,0,0,0
2021-07-03 17:12:53,0,0,0
2021-07-03 17:17:55,0,0,0
2021-07-03 17:22:52,0,0,0
2021-07-03 17:27:53,0,0,0
2021-07-03 17:32:55,0,0,0
2021-07-03 17:37:52,0,0,0
2021-07-03 17:42:53,0,0,0
2021-07-03 17:47:55,0,0,0
2021-07-03 17:52:52,0,0,0
2021-07-03 17:57:53,0,0,0
2021-07-03 18:02:55,0,0,0
2021-07-03 18:07:52,0,0,0
2021-07-03 18:12:53,0,0,0
2021-07-03 18:17:55,0,0,0
2021-07-03 18:22:52,0,0,0
2021-07-03 18:27:53,0,0,0
2021-07-03 18:32:55,0,0,0
2021-07-03 18:37:52,0,0,0
2021-07-03 18:42:53,0,0,0
2021-07-03 18:47:55,0,0,0
2021-07-03 18:52:52,0,0,0
2021-07-03 18:57:53,0,0,0
2021-07-03 19:02:55,1.7490480000000002,0.00430214,0.9999969749423516
2021-07-03 19:07:52,4.35088,0.01076856,0.9999969371264831
2021-07-03 19:12:53,4.34483,0.0108088,0.9999969055934373
2021-07-03 19:17:55,2.6660399999999997,0.00663064,0.9999969072446567
2021-07-03 19:22:52,0,0,0
2021-07-03 19:27:53,0,0,0
2021-07-03 19:32:55,0,0,0
2021-07-03 19:37:52,0,0,0
2021-07-03 19:42:53,0,0,0
2021-07-03 19:47:54,0,0,0
2021-07-03 19:52:51,0,0,0
2021-07-03 19:57:52,0,0,0
2021-07-03 20:02:54,0.651867,0.001600555,0.9999969856668227
2021-07-03 20:07:51,4.388590000000001,0.010772299999999999,0.999996987445567
2021-07-03 20:12:52,4.36569,0.01080064,0.9999969397197171
2021-07-03 20:17:54,4.35681,0.010835479999999998,0.9999969073764565
2021-07-03 20:22:51,0.491,0.001261081,0.9999967016948236
2021-07-03 20:27:52,0,0,0
2021-07-03 20:32:55,0,0,0
2021-07-03 20:37:52,0,0,0
2021-07-03 20:42:53,0,0,0
2021-07-03 20:47:55,0,0,0
2021-07-03 20:52:52,0,0,0
2021-07-03 20:57:53,0,0,0
2021-07-03 21:02:55,0,0,0
2021-07-03 21:07:52,0,0,0
2021-07-03 21:12:53,0,0,0
2021-07-03 21:17:55,0,0,0
2021-07-03 21:22:52,0,0,0
2021-07-03 21:27:53,0,0,0
2021-07-03 21:32:55,0,0,0
2021-07-03 21:37:52,0,0,0
2021-07-03 21:42:53,0,0,0
2021-07-03 21:47:55,0,0,0
2021-07-03 21:52:52,0,0,0
2021-07-03 21:57:53,0,0,0
2021-07-03 22:02:55,0,0,0
2021-07-03 22:07:52,0,0,0
2021-07-03 22:12:53,0,0,0
2021-07-03 22:17:55,0,0,0
2021-07-03 22:22:52,0,0,0
2021-07-03 22:27:53,0,0,0
2021-07-03 22:32:55,0,0,0
2021-07-03 22:37:52,0,0,0
2021-07-03 22:42:53,0,0,0
2021-07-03 22:47:55,0,0,0
2021-07-03 22:52:52,0,0,0
2021-07-03 22:57:53,0,0,0
2021-07-03 23:02:55,0,0,0
2021-07-03 23:07:52,0,0,0
2021-07-03 23:12:53,0,0,0
2021-07-03 23:17:55,0,0,0
2021-07-03 23:22:52,0,0,0
2021-07-03 23:27:53,0,0,0
2021-07-03 23:32:55,0,0,0
2021-07-03 23:37:56,0,0,0
2021-07-03 23:42:53,0,0,0
2021-07-03 23:47:54,0,0,0
2021-07-03 23:52:56,0,0,0
2021-07-04 00:00:00,0,0,0
2021-07-03 00:00:00,,,
2021-07-04 00:00:00,,,
