time,real-power,reactive-power,power-factor
2021-07-05 00:00:00,0,0,0
2021-07-05 00:02:55,0,0,0
2021-07-05 00:07:58,0,0,0
2021-07-05 00:12:54,0,0,0
2021-07-05 00:17:56,0,0,0
2021-07-05 00:22:57,0,0,0
2021-07-05 00:27:53,0,0,0
2021-07-05 00:32:55,0,0,0
2021-07-05 00:37:57,0,0,0
2021-07-05 00:42:54,0,0,0
2021-07-05 00:47:55,0,0,0
2021-07-05 00:52:57,0,0,0
2021-07-05 00:57:54,0,0,0
2021-07-05 01:02:55,0,0,0
2021-07-05 01:07:57,0,0,0
2021-07-05 01:12:54,0,0,0
2021-07-05 01:17:55,0,0,0
2021-07-05 01:22:58,0,0,0
2021-07-05 01:27:54,0,0,0
2021-07-05 01:32:56,0,0,0
2021-07-05 01:37:58,0,0,0
2021-07-05 01:42:55,0,0,0
2021-07-05 01:47:56,0,0,0
2021-07-05 01:52:58,0,0,0
2021-07-05 01:57:55,0,0,0
2021-07-05 02:02:56,0,0,0
2021-07-05 02:07:58,0,0,0
2021-07-05 02:12:55,0,0,0
2021-07-05 02:17:56,0,0,0
2021-07-05 02:27:55,0,0,0
2021-07-05 02:33:42,0.000030046140000000003,0.000355049,0.08432393137572437
2021-07-05 02:38:44,0,0,0
2021-07-05 02:43:41,0,0,0
2021-07-05 02:48:42,0,0,0
2021-07-05 02:53:44,0,0,0
2021-07-05 02:58:41,0,0,0
2021-07-05 03:03:42,0,0,0
2021-07-05 03:08:44,0,0,0
2021-07-05 03:13:41,0,0,0
2021-07-05 03:18:42,0,0,0
2021-07-05 03:23:44,0,0,0
2021-07-05 03:28:41,0,0,0
2021-07-05 03:33:43,0,0,0
2021-07-05 03:38:45,0,0,0
2021-07-05 03:43:42,0,0,0
2021-07-05 03:48:43,0,0,0
2021-07-05 03:55:03,0.000016065810000000002,0.00015405239999999998,0.10372542424134809
2021-07-05 04:00:05,0,0,0
2021-07-05 04:05:02,0,0,0
2021-07-05 04:10:03,0,0,0
2021-07-05 04:15:06,0,0,0
2021-07-05 04:20:03,0,0,0
2021-07-05 04:25:04,0,0,0
2021-07-05 04:30:06,0,0,0
2021-07-05 04:35:03,0,0,0
2021-07-05 04:40:04,0,0,0
2021-07-05 04:45:06,0,0,0
2021-07-05 04:50:03,0,0,0
2021-07-05 04:55:04,0,0,0
2021-07-05 05:00:06,0,0,0
2021-07-05 05:05:03,0,0,0
2021-07-05 05:10:04,0,0,0
2021-07-05 05:15:06,0,0,0
2021-07-05 05:20:03,0,0,0
2021-07-05 05:25:04,0,0,0
2021-07-05 05:30:06,0,0,0
2021-07-05 05:35:03,0,0,0
2021-07-05 05:40:04,0,0,0
2021-07-05 05:45:06,0,0,0
2021-07-05 05:50:03,0,0,0
2021-07-05 05:55:03,0,0,0
2021-07-05 06:00:06,0,0,0
2021-07-05 06:05:03,0,0,0
2021-07-05 06:10:04,0,0,0
2021-07-05 06:15:06,0,0,0
2021-07-05 06:20:03,0,0,0
2021-07-05 06:25:04,0,0,0
2021-07-05 06:30:06,0,0,0
2021-07-05 06:35:03,0,0,0
2021-07-05 06:40:04,0,0,0
2021-07-05 06:45:06,0,0,0
2021-07-05 06:50:03,3.3553499999999996,0.00819383,0.9999970182838109
2021-07-05 06:55:04,4.340109999999999,0.01065074,0.9999969888933693
2021-07-05 07:00:06,4.33531,0.01071103,0.9999969479603422
2021-07-05 07:05:11,4.33545,0.011196290000000001,0.9999966653692881
2021-07-05 07:10:13,4.342879999999999,0.01079336,0.9999969116560695
2021-07-05 07:15:10,4.34798,0.01086706,0.9999968766761032
2021-07-05 07:20:11,4.34995,0.01081494,0.9999969093652051
2021-07-05 07:25:13,0.0554275,0.0001724467,0.9999951602152568
2021-07-05 07:30:10,0,0,0
2021-07-05 07:35:11,0,0,0
2021-07-05 07:40:13,0,0,0
2021-07-05 07:45:10,0,0,0
2021-07-05 07:50:11,0,0,0
2021-07-05 07:55:13,0,0,0
2021-07-05 08:00:10,0,0,0
2021-07-05 08:05:11,0,0,0
2021-07-05 08:10:13,0,0,0
2021-07-05 08:15:10,0,0,0
2021-07-05 08:20:11,0,0,0
2021-07-05 08:25:13,0,0,0
2021-07-05 08:30:10,0,0,0
2021-07-05 08:35:11,0,0,0
2021-07-05 08:40:13,0,0,0
2021-07-05 08:45:11,0,0,0
2021-07-05 08:50:13,0,0,0
2021-07-05 08:55:10,0,0,0
2021-07-05 09:00:11,0,0,0
2021-07-05 09:05:13,0,0,0
2021-07-05 09:10:10,0,0,0
2021-07-05 09:15:11,0,0,0
2021-07-05 09:20:13,0,0,0
2021-07-05 09:25:10,0,0,0
2021-07-05 09:30:11,0,0,0
2021-07-05 09:35:13,0,0,0
2021-07-05 09:45:17,0.000007332780000000001,0.0001413841,0.05179463340362763
2021-07-05 09:50:19,0,0,0
2021-07-05 09:55:16,0,0,0
2021-07-05 10:00:17,0,0,0
2021-07-05 10:05:19,0,0,0
2021-07-05 10:10:16,0,0,0
2021-07-05 10:15:17,0,0,0
2021-07-05 10:20:19,0,0,0
2021-07-05 10:25:16,0,0,0
2021-07-05 10:30:17,0,0,0
2021-07-05 10:35:19,0,0,0
2021-07-05 10:40:16,0,0,0
2021-07-05 10:45:17,0,0,0
2021-07-05 10:50:19,0,0,0
2021-07-05 10:55:16,0,0,0
2021-07-05 11:00:17,0,0,0
2021-07-05 11:05:19,0,0,0
2021-07-05 11:10:16,0,0,0
2021-07-05 11:15:17,0,0,0
2021-07-05 11:20:19,0,0,0
2021-07-05 11:25:16,0,0,0
2021-07-05 11:30:17,0,0,0
2021-07-05 11:35:19,0,0,0
2021-07-05 11:40:16,0,0,0
2021-07-05 11:45:17,0,0,0
2021-07-05 11:50:19,0,0,0
2021-07-05 11:55:16,0,0,0
2021-07-05 12:00:17,0,0,0
2021-07-05 12:05:19,0,0,0
2021-07-05 12:10:16,0,0,0
2021-07-05 12:15:17,0,0,0
2021-07-05 12:20:19,0,0,0
2021-07-05 12:25:16,0,0,0
2021-07-05 12:30:17,0,0,0
2021-07-05 12:35:19,0,0,0
2021-07-05 12:40:16,0,0,0
2021-07-05 12:45:17,0,0,0
2021-07-05 12:50:19,0,0,0
2021-07-05 12:55:16,0,0,0
2021-07-05 13:00:17,0,0,0
2021-07-05 13:05:19,0,0,0
2021-07-05 13:10:16,0,0,0
2021-07-05 13:15:17,0,0,0
2021-07-05 13:20:19,0,0,0
2021-07-05 13:25:16,0,0,0
2021-07-05 13:30:17,0,0,0
2021-07-05 13:35:19,0,0,0
2021-07-05 13:40:17,0,0,0
2021-07-05 13:45:18,0,0,0
2021-07-05 13:50:20,0,0,0
2021-07-05 13:55:17,0,0,0
2021-07-05 14:00:18,0,0,0
2021-07-05 14:05:20,0,0,0
2021-07-05 14:10:16,0,0,0
2021-07-05 14:15:18,0,0,0
2021-07-05 14:20:20,0,0,0
2021-07-05 14:25:17,0,0,0
2021-07-05 14:30:18,0,0,0
2021-07-05 14:35:20,0,0,0
2021-07-05 14:40:17,0,0,0
2021-07-05 14:45:18,0,0,0
2021-07-05 14:50:20,0,0,0
2021-07-05 14:55:17,0,0,0
2021-07-05 15:00:18,0,0,0
2021-07-05 15:05:20,0,0,0
2021-07-05 15:10:17,0,0,0
2021-07-05 15:15:18,0,0,0
2021-07-05 15:20:20,0,0,0
2021-07-05 15:25:17,0,0,0
2021-07-05 15:30:18,0,0,0
2021-07-05 15:35:20,0,0,0
2021-07-05 15:40:17,0,0,0
2021-07-05 15:45:17,0,0,0
2021-07-05 15:50:19,0,0,0
2021-07-05 15:55:16,0,0,0
2021-07-05 16:00:17,0,0,0
2021-07-05 16:05:19,0,0,0
2021-07-05 16:17:49,0.00000200267,0.0000997173,0.020079426916525166
2021-07-05 16:49:53,2.98857e-7,-0.0000175868,0.016990803259360945
2021-07-05 16:54:55,0,0,0
