time,real-power,reactive-power,power-factor
2021-08-17 00:00:00,0,0,0
2021-08-17 00:30:00,0,0,0
2021-08-17 00:52:00,5.94E-07,-0.0001053,0.005645264
2021-08-17 00:57:00,0,0,0
2021-08-17 01:02:00,0,0,0
2021-08-17 01:07:00,0,0,0
2021-08-17 01:37:00,0,0,0
2021-08-17 01:59:00,5.94E-06,0.000105148,0.056446118
2021-08-17 02:29:00,5.94E-06,0.000105148,0.056446118
2021-08-17 02:50:00,6.49E-06,-4.96E-05,0.129867973
2021-08-17 02:55:00,0,0,0
2021-08-17 03:00:00,0,0,0
2021-08-17 03:05:00,0,0,0
2021-08-17 03:35:00,0,0,0
2021-08-17 04:05:00,0,0,0
2021-08-17 04:20:00,-3.33E-06,7.73E-05,0.043023009
2021-08-17 04:25:00,0,0,0
2021-08-17 04:30:00,0,0,0
2021-08-17 05:00:00,0,0,0
2021-08-17 05:28:00,1.21E-06,8.71E-06,0.137995616
2021-08-17 05:33:00,0,0,0
2021-08-17 05:38:00,0,0,0
2021-08-17 06:08:00,0,0,0
2021-08-17 06:37:00,-3.91E-07,-1.54E-05,0.025365906
2021-08-17 06:42:00,0,0,0
2021-08-17 06:47:00,0,0,0
2021-08-17 06:52:00,0,0,0
2021-08-17 07:22:00,0,0,0
2021-08-17 07:42:00,0.406308,0.001042705,0.999996707
2021-08-17 07:47:00,4.30199,0.01057067,0.999996981
2021-08-17 07:52:00,4.30967,0.01065018,0.999996947
2021-08-17 08:22:00,0,0,0
2021-08-17 08:52:00,0,0,0
2021-08-17 09:10:00,1.092945,0.00272671,0.999996888
2021-08-17 09:15:00,0,0,0
2021-08-17 09:20:00,0,0,0
2021-08-17 09:25:00,0,0,0
2021-08-17 09:55:00,0,0,0
2021-08-17 10:18:00,5.38E-06,7.02E-05,0.07651307
2021-08-17 10:23:00,0,0,0
2021-08-17 10:53:00,0,0,0
2021-08-17 11:23:00,0,0,0
2021-08-17 11:23:00,0,0.000995985,0.999997592
2021-08-17 11:28:00,0,0.015139315,0.999996142
2021-08-17 11:58:00,0,0,0
2021-08-17 12:18:00,0,0,0
2021-08-17 12:23:00,0,0,0
2021-08-17 12:28:00,0,0,0
2021-08-17 12:33:00,0,0,0
2021-08-17 13:03:00,0,0,0
2021-08-17 13:31:00,1.25E-05,0.000194128,0.06445806
2021-08-17 13:36:00,0,0,0
2021-08-17 13:41:00,0,0,0
2021-08-17 13:46:00,0,0,0
2021-08-17 14:16:00,0,0,0
2021-08-17 14:46:00,0,0,0
2021-08-17 14:49:00,3.72E-06,-7.59E-05,0.049028498
2021-08-17 14:54:00,0,0,0
2021-08-17 15:14:00,-5.00E-06,0.000398076,0.012561535
2021-08-17 15:19:00,0,0,0
2021-08-17 15:24:00,0,0,0
2021-08-17 15:34:00,0,0,0
2021-08-17 15:50:00,4.53E-06,0.000108576,0.041697604
2021-08-17 15:55:00,0,0,0
2021-08-17 16:16:00,-9.85E-06,-0.000009185,0.731350711
2021-08-17 16:46:00,0,0,0
2021-08-17 17:16:00,0,0,0
2021-08-17 17:46:00,0,0,0
2021-08-17 18:16:00,0,0,0
2021-08-17 18:46:00,0,0,0
2021-08-17 18:49:00,1.34E-05,-3.42E-06,0.9690316
2021-08-17 18:54:00,0,0,0
2021-08-17 18:59:00,0,0,0
2021-08-17 19:04:00,0,0,0
2021-08-17 19:09:00,0,0,0
2021-08-17 19:14:00,0,0,0
2021-08-17 19:19:00,0,0,0
2021-08-17 19:30:00,2.92E-05,-0.000266479,0.108794718
2021-08-17 19:59:00,2.42E-05,-0.000254934,0.094606004
2021-08-17 20:19:00,-0.000102298,0.001090618,0.09338825
2021-08-17 20:24:00,0,0,0
2021-08-17 20:29:00,0,0,0
2021-08-17 20:34:00,0,0,0
2021-08-17 20:39:00,0,0,0
2021-08-17 20:44:00,0,0,0
2021-08-17 20:49:00,0,0,0
2021-08-17 20:54:00,0,0,0
2021-08-17 21:07:00,-1.41E-05,5.48E-05,0.249379885
2021-08-17 21:12:00,0,0,0
2021-08-17 21:17:00,0,0,0
2021-08-17 21:22:00,0,0,0
2021-08-17 21:27:00,0,0,0
2021-08-17 21:32:00,0,0,0
2021-08-17 21:37:00,0,0,0
2021-08-17 21:42:00,0,0,0
2021-08-17 21:49:00,1.42E-05,0.000212289,0.066873676
2021-08-17 21:54:00,0,0,0
2021-08-17 21:59:00,0,0,0
2021-08-17 22:09:00,0,0,0
2021-08-17 22:14:00,0,0,0
2021-08-17 22:19:00,0,0,0
2021-08-17 22:24:00,0,0,0
2021-08-17 22:29:00,0,0,0
2021-08-17 22:34:00,0,0,0
2021-08-17 22:39:00,0,0,0
2021-08-17 22:49:00,-1.61E-06,0.000155023,0.010368827
2021-08-17 22:54:00,0,0,0
2021-08-17 22:59:00,0,0,0
2021-08-17 23:20:00,-7.79E-07,0.000080233,0.009713874
2021-08-17 23:26:00,0,0,0
2021-08-17 23:39:00,1.22E-05,-8.04E-05,0.150079838
2021-08-18 00:00:00,0,0,0
2021-08-18 00:09:49,-7.13917E-06,-3.5526E-06,0.89527756
2021-08-18 00:20:52,1.207816,0.00270317,0.999997496
2021-08-18 00:25:56,4.33704,0.01070708,0.999996953
2021-08-18 00:30:53,4.37628,0.01084343,0.99999693
2021-08-18 00:35:55,4.36477,0.01081713,0.999996929
2021-08-18 01:05:55,0,0,0
2021-08-18 01:18:30,0.470152764,0.001077671,0.999997373
2021-08-18 01:33:17,1.355151188,0.003849513,0.999995965
2021-08-18 01:38:19,0,0,0
2021-08-18 01:43:16,0,0,0
2021-08-18 01:48:18,0,0,0
2021-08-18 01:53:19,0,0,0
2021-08-18 01:58:16,0,0,0
2021-08-18 02:03:18,0,0,0
2021-08-18 02:08:19,0,0,0
2021-08-18 02:13:17,0,0,0
2021-08-18 02:18:18,0,0,0
2021-08-18 02:23:20,0,0,0
2021-08-18 02:28:17,0,0,0
2021-08-18 02:33:18,0,0,0
2021-08-18 02:43:00,3.05464E-05,6.01787E-05,0.452623286
2021-08-18 02:48:01,0,0,0
2021-08-18 02:52:58,0,0,0
2021-08-18 02:57:59,0,0,0
2021-08-18 03:03:01,0,0,0
2021-08-18 03:07:58,0,0,0
2021-08-18 03:18:27,7.59459E-06,0.000116739,0.064918752
