time,circuit-breaker-total-power,evse-circuit-breaker-total-power,circuit-breaker-energy,evse-circuit-breaker-energy
2021-08-13 00:05:00,0,0,0,0
2021-08-13 00:10:00,0,0,0,0
2021-08-13 00:15:00,0,0,0,0
2021-08-13 00:20:00,0,0,0,0
2021-08-13 00:25:00,0,0,0,0
2021-08-13 00:30:00,0,0,0,0
2021-08-13 00:35:00,0,0,0,0
2021-08-13 00:40:00,0,0,0,0
2021-08-13 00:45:00,0,0,0,0
2021-08-13 00:50:00,0,0,0,0
2021-08-13 00:55:00,0,0,0,0
2021-08-13 01:00:00,0,0,0,0
2021-08-13 01:05:00,0,0,0,0
2021-08-13 01:10:00,0,0,0,0
2021-08-13 01:15:00,0,0,0,0
2021-08-13 01:20:00,0,0,0,0
2021-08-13 01:25:00,0,0,0,0
2021-08-13 01:30:00,0,0,0,0
2021-08-13 01:35:00,0,0,0,0
2021-08-13 01:40:00,0,0,0,0
2021-08-13 01:45:00,0,0,0,0
2021-08-13 01:50:00,0,0,0,0
2021-08-13 01:55:00,0,0,0,0
2021-08-13 02:00:00,0,0,0,0
2021-08-13 02:05:00,0,0,0,0
2021-08-13 02:10:00,0,0,0,0
2021-08-13 02:15:00,0,0,0,0
2021-08-13 02:20:00,0,0,0,0
2021-08-13 02:25:00,0,0,0,0
2021-08-13 02:30:00,0,0,0,0
2021-08-13 02:35:00,0,0,0,0
2021-08-13 02:40:00,0,0,0,0
2021-08-13 02:45:00,0,0,0,0
2021-08-13 02:50:00,0,0,0,0
2021-08-13 02:55:00,0,0,0,0
2021-08-13 03:00:00,0,0,0,0
2021-08-13 03:05:00,0,0,0,0
2021-08-13 03:10:00,0,0,0,0
2021-08-13 03:15:00,0,0,0,0
2021-08-13 03:20:00,0,0,0,0
2021-08-13 03:25:00,0,0,0,0
2021-08-13 03:30:00,0,0,0,0
2021-08-13 03:35:00,0,0,0,0
2021-08-13 03:40:00,0,0,0,0
2021-08-13 03:45:00,0,0,0,0
2021-08-13 03:50:00,0,0,0,0
2021-08-13 03:55:00,0,0,0,0
2021-08-13 04:00:00,0,0,0,0
2021-08-13 04:05:00,0,0,0,0
2021-08-13 04:10:00,0,0,0,0
2021-08-13 04:15:00,0,0,0,0
2021-08-13 04:20:00,0,0,0,0
2021-08-13 04:25:00,0,0,0,0
2021-08-13 04:30:00,0,0,0,0
2021-08-13 04:35:00,0,0,0,0
2021-08-13 04:40:00,0,0,0,0
2021-08-13 04:45:00,0,0,0,0
2021-08-13 04:50:00,0,0,0,0
2021-08-13 04:55:00,0,0,0,0
2021-08-13 05:00:00,0,0,0,0
2021-08-13 05:05:00,0,0,0,0
2021-08-13 05:10:00,0,0,0,0
2021-08-13 05:15:00,0,0,0,0
2021-08-13 05:20:00,0,0,0,0
2021-08-13 05:25:00,0,0,0,0
2021-08-13 05:30:00,0,0,0,0
2021-08-13 05:35:00,0,0,0,0
2021-08-13 05:40:00,0,0,0,0
2021-08-13 05:45:00,0,0,0,0
2021-08-13 05:50:00,0,0,0,0
2021-08-13 05:55:00,0,0,0,0
2021-08-13 06:00:00,0,0,0,0
2021-08-13 06:05:00,0,0,0,0
2021-08-13 06:10:00,0,0,0,0
2021-08-13 06:15:00,0,0,0,0
2021-08-13 06:20:00,0,0,0,0
2021-08-13 06:25:00,0,0,0,0
2021-08-13 06:30:00,0,0,0,0
2021-08-13 06:35:00,0,0,0,0
2021-08-13 06:40:00,0,0,0,0
2021-08-13 06:45:00,0,0,0,0
2021-08-13 06:50:00,2.078665771484375,0,0.17322214762369792,0
2021-08-13 06:55:00,4.3809912109375,0,0.5383047485351562,0
2021-08-13 07:00:00,4.37296533203125,0,0.902718526204427,0
2021-08-13 07:05:00,4.358169921875,0,1.2658993530273437,0
2021-08-13 07:10:00,4.404849609375,0,1.6329701538085937,0
2021-08-13 07:15:00,2.6664781188964843,0,1.855176663716634,0
2021-08-13 07:20:00,1.0534651103019714,0,1.942965422908465,0
2021-08-13 07:25:00,-0.0064178147315979,0,1.942430605014165,0
2021-08-13 07:30:00,-0.005960845470428467,0,1.9419338678916294,0
2021-08-13 07:35:00,-0.005842480182647705,0,1.9414469945430755,0
2021-08-13 07:40:00,-0.005814980030059815,0,1.9409624128739038,0
2021-08-13 07:45:00,-0.0056392717361450195,0,1.9404924735625584,0
2021-08-13 07:50:00,-0.005623850345611572,0,1.9400238193670907,0
2021-08-13 07:55:00,-0.00556561279296875,0,1.93956001830101,0
2021-08-13 08:00:00,-0.005393196105957032,0,1.9391105852921802,0
2021-08-13 08:05:00,-0.005372132301330566,0,1.9386629076004027,0
2021-08-13 08:10:00,-0.005265925884246826,0,1.9382240804433821,0
2021-08-13 08:15:00,-0.005128682136535645,0,1.9377966902653374,0
2021-08-13 08:20:00,-0.005004604816436767,0,1.9373796398639678,0
2021-08-13 08:25:00,-0.004858983039855957,0,1.9369747246106463,0
2021-08-13 08:30:00,-0.004802697658538818,0,1.9365744998057681,0
2021-08-13 08:35:00,-0.00469711971282959,0,1.9361830731630323,0
2021-08-13 08:40:00,-0.004581684589385986,0,1.9358012661139168,0
2021-08-13 08:45:00,-0.0043036179542541506,0,1.9354426312843955,0
2021-08-13 08:50:00,-0.0037408676147460936,0,1.9351308923165,0
2021-08-13 08:55:00,-0.0031499090194702147,0,1.9348683998982108,0
2021-08-13 09:00:00,-0.0032160964012145996,0,1.9346003918647763,0
2021-08-13 09:05:00,-0.0030923874378204347,0,1.9343426929116245,0
2021-08-13 09:10:00,-0.003051138162612915,0,1.9340884313980735,0
2021-08-13 09:15:00,-0.003399837255477905,0,1.9338051116267836,0
2021-08-13 09:20:00,-0.0031122186183929444,0,1.9335457600752508,0
2021-08-13 09:25:00,-0.0031733973026275633,0,1.933281310300032,0
2021-08-13 09:30:00,-0.0031682791709899904,0,1.9330172870357827,0
2021-08-13 09:35:00,-0.0032147881984710695,0,1.9327493880192435,0
2021-08-13 09:40:00,-0.00321600341796875,0,1.9324813877344127,0
2021-08-13 09:45:00,-0.003219332218170166,0,1.9322131100495652,0
2021-08-13 09:50:00,-0.003314523220062256,0,1.9319368997812267,0
2021-08-13 09:55:00,-0.0033077170848846435,0,1.9316612566908198,0
2021-08-13 10:00:00,-0.0034797608852386473,0,1.9313712766170499,0
2021-08-13 10:05:00,-0.0038751623630523683,0,1.931048346420129,0
2021-08-13 10:10:00,-0.004023400783538819,0,1.9307130630215006,0
2021-08-13 10:15:00,-0.0037246832847595214,0,1.9304026727477706,0
2021-08-13 10:20:00,-0.0036841750144958494,0,1.9300956581632291,0
2021-08-13 10:25:00,-0.0038202500343322756,0,1.9297773039937014,0
2021-08-13 10:30:00,-0.0037036910057067873,0,1.9294686630765592,0
2021-08-13 10:35:00,-0.0033872249126434325,0,1.929186394333839,0
2021-08-13 10:40:00,-0.0033669867515563963,0,1.9289058121045426,0
2021-08-13 10:45:00,-0.0032768609523773193,0,1.928632740358511,0
2021-08-13 10:50:00,-0.0034501750469207765,0,1.9283452257712677,0
2021-08-13 10:55:00,-0.003344162225723267,0,1.9280665455857908,0
2021-08-13 11:00:00,-0.0032184550762176514,0,1.927798340996106,0
2021-08-13 11:05:00,-0.003293488264083862,0,1.9275238836407655,0
2021-08-13 11:10:00,-0.003194129228591919,0,1.9272577062050495,0
2021-08-13 11:15:00,-0.0031757175922393797,0,1.9269930630723628,0
2021-08-13 11:20:00,-0.0031375067234039305,0,1.926731604178746,0
2021-08-13 11:25:00,-0.0032821228504180907,0,1.926458093941211,0
2021-08-13 11:30:00,-0.0032072324752807618,0,1.926190824568271,0
2021-08-13 11:35:00,-0.0033031141757965087,0,1.9259155650536213,0
2021-08-13 11:40:00,-0.0031711761951446534,0,1.9256513003706925,0
