time,real-power,reactive-power,power-factor
2021-09-01 00:00:00,0,0,0
2021-09-01 00:03:25,0,0,0
2021-09-01 00:08:22,0,0,0
2021-09-01 00:13:23,0,0,0
2021-09-01 00:18:25,0,0,0
2021-09-01 00:23:26,0,0,0
2021-09-01 00:28:23,0,0,0
2021-09-01 00:33:24,0,0,0
2021-09-01 00:38:25,0,0,0
2021-09-01 00:43:26,0,0,0
2021-09-01 00:48:23,0,0,0
2021-09-01 00:53:25,0,0,0
2021-09-01 00:58:26,0,0,0
2021-09-01 01:03:27,0,0,0
2021-09-01 01:08:24,0,0,0
2021-09-01 01:13:25,0,0,0
2021-09-01 01:18:26,0,0,0
2021-09-01 01:23:23,0,0,0
2021-09-01 01:28:24,0,0,0
2021-09-01 01:33:25,0,0,0
2021-09-01 01:38:27,0,0,0
2021-09-01 01:43:24,0,0,0
2021-09-01 01:48:25,0,0,0
2021-09-01 01:53:26,0,0,0
2021-09-01 01:58:27,0,0,0
2021-09-01 02:03:24,0,0,0
2021-09-01 02:08:25,0,0,0
2021-09-01 02:13:26,0,0,0
2021-09-01 02:18:28,0,0,0
2021-09-01 02:23:25,0,0,0
2021-09-01 02:28:26,0,0,0
2021-09-01 02:33:27,0,0,0
2021-09-01 02:38:24,0,0,0
2021-09-01 02:43:25,0,0,0
2021-09-01 02:48:26,0,0,0
2021-09-01 02:53:27,0,0,0
2021-09-01 02:58:24,0,0,0
2021-09-01 03:03:26,0,0,0
2021-09-01 03:08:27,0,0,0
2021-09-01 03:13:28,0,0,0
2021-09-01 03:18:25,0,0,0
2021-09-01 03:23:26,0,0,0
2021-09-01 03:28:27,0,0,0
2021-09-01 03:33:24,0,0,0
2021-09-01 03:38:25,0,0,0
2021-09-01 03:43:27,0,0,0
2021-09-01 03:48:28,0,0,0
2021-09-01 03:53:25,0,0,0
2021-09-01 03:58:26,0,0,0
2021-09-01 04:03:27,0,0,0
2021-09-01 04:08:28,0,0,0
2021-09-01 04:13:26,0,0,0
2021-09-01 04:18:27,0,0,0
2021-09-01 04:23:28,0,0,0
2021-09-01 04:28:25,0,0,0
2021-09-01 04:33:26,0,0,0
2021-09-01 04:38:27,0,0,0
2021-09-01 04:43:28,0,0,0
2021-09-01 04:48:24,0,0,0
2021-09-01 04:53:26,0,0,0
2021-09-01 04:58:27,0,0,0
2021-09-01 05:03:28,0,0,0
2021-09-01 05:08:25,0,0,0
2021-09-01 05:13:27,0,0,0
2021-09-01 05:18:28,0,0,0
2021-09-01 05:23:25,0,0,0
2021-09-01 05:28:26,0,0,0
2021-09-01 05:33:27,0,0,0
2021-09-01 05:38:28,0,0,0
2021-09-01 05:43:25,0,0,0
2021-09-01 05:48:26,0,0,0
2021-09-01 05:53:27,0,0,0
2021-09-01 05:58:29,0,0,0
2021-09-01 06:03:26,0,0,0
2021-09-01 06:08:27,0,0,0
2021-09-01 06:13:28,0,0,0
2021-09-01 06:18:25,1.910224,0.002138718,0.9999993732302169
2021-09-01 06:23:26,4.352449999999999,0.0044738838,0.9999994717111086
2021-09-01 06:28:28,0,0,0
2021-09-01 06:33:29,0,0,0
2021-09-01 06:38:26,0,0,0
2021-09-01 06:43:27,0,0,0
2021-09-01 06:48:28,0,0,0
2021-09-01 06:53:29,0,0,0
2021-09-01 06:58:26,0,0,0
2021-09-01 07:03:27,0,0,0
2021-09-01 07:08:29,0,0,0
2021-09-01 07:13:30,2.8011100000000004,0.002807431,0.9999994977412269
2021-09-01 07:18:27,4.38384,0.0046181320000000005,0.9999994451278373
2021-09-01 07:23:28,4.383290000000001,0.004560329,0.9999994587952576
2021-09-01 07:28:29,4.39035,0.0045393499000000006,0.9999994654864872
2021-09-01 07:33:26,4.40156,0.004625738,0.9999994477719613
2021-09-01 07:38:27,4.40144,0.0049344160000000005,0.9999993715777642
2021-09-01 07:43:28,4.01896,0.004519682999999999,0.9999993676490494
2021-09-01 07:48:30,0,0,0
2021-09-01 07:53:27,0,0,0
2021-09-01 07:58:28,0,0,0
2021-09-01 08:03:29,0,0,0
2021-09-01 08:08:30,0,0,0
2021-09-01 08:13:27,0,0,0
2021-09-01 08:18:28,0,0,0
2021-09-01 08:23:29,0,0,0
2021-09-01 08:28:30,0,0,0
2021-09-01 08:33:28,0,0,0
2021-09-01 08:38:29,0,0,0
2021-09-01 08:43:30,0,0,0
2021-09-01 08:48:27,0,0,0
2021-09-01 08:53:28,0,0,0
2021-09-01 08:58:29,0,0,0
2021-09-01 09:03:30,0,0,0
2021-09-01 09:08:27,0,0,0
2021-09-01 09:13:29,0,0,0
2021-09-01 09:18:30,0,0,0
2021-09-01 09:23:31,0,0,0
2021-09-01 09:28:28,0,0,0
2021-09-01 09:33:29,0,0,0
2021-09-01 09:38:30,0,0,0
2021-09-01 09:43:27,0,0,0
2021-09-01 09:48:29,0,0,0
2021-09-01 09:53:30,0,0,0
2021-09-01 09:58:31,0,0,0
2021-09-01 10:03:28,0,0,0
2021-09-01 10:08:29,0,0,0
2021-09-01 10:13:30,0,0,0
2021-09-01 10:18:31,0,0,0
2021-09-01 10:23:28,0,0,0
2021-09-01 10:28:29,0,0,0
2021-09-01 10:33:31,0,0,0
2021-09-01 10:38:32,0,0,0
2021-09-01 10:43:29,0,0,0
2021-09-01 10:48:30,0,0,0
2021-09-01 10:53:31,0,0,0
2021-09-01 10:58:28,0,0,0
2021-09-01 11:03:29,0,0,0
2021-09-01 11:08:30,0,0,0
2021-09-01 11:13:32,0,0,0
2021-09-01 11:18:29,0,0,0
2021-09-01 11:23:30,0,0,0
2021-09-01 11:28:31,0,0,0
2021-09-01 11:33:32,0,0,0
2021-09-01 11:38:28,0,0,0
2021-09-01 11:43:30,0,0,0
2021-09-01 11:48:31,0,0,0
2021-09-01 11:53:32,0,0,0
2021-09-01 11:58:29,0,0,0
2021-09-01 12:03:30,0,0,0
2021-09-01 12:08:31,0,0,0
2021-09-01 12:13:28,0,0,0
2021-09-01 12:18:29,0,0,0
2021-09-01 12:23:30,0,0,0
2021-09-01 12:28:32,0,0,0
2021-09-01 12:33:29,0,0,0
2021-09-01 12:38:30,0,0,0
2021-09-01 12:43:31,0,0,0
2021-09-01 12:48:32,0,0,0
2021-09-01 12:53:29,0,0,0
2021-09-01 12:58:30,0,0,0
2021-09-01 13:03:31,0,0,0
2021-09-01 13:08:32,0,0,0
2021-09-01 13:13:29,0,0,0
2021-09-01 13:18:31,0,0,0
2021-09-01 13:23:32,0,0,0
2021-09-01 13:28:33,0,0,0
2021-09-01 13:33:30,0,0,0
2021-09-01 13:38:31,0,0,0
2021-09-01 13:43:32,0,0,0
2021-09-01 13:48:29,0,0,0
2021-09-01 13:53:30,0,0,0
2021-09-01 13:58:32,0,0,0
2021-09-01 14:03:33,0,0,0
2021-09-01 14:08:30,0,0,0
2021-09-01 14:13:31,0,0,0
2021-09-01 14:18:32,0,0,0
2021-09-01 14:23:33,0,0,0
2021-09-01 14:28:30,0,0,0
2021-09-01 14:33:31,0,0,0
2021-09-01 14:38:33,0,0,0
2021-09-01 14:43:34,0,0,0
2021-09-01 14:48:31,0,0,0
2021-09-01 14:53:30,0,0,0
2021-09-01 14:58:32,0,0,0
2021-09-01 15:03:30,0,0,0
2021-09-01 15:08:31,0,0,0
2021-09-01 15:13:32,0,0,0
2021-09-01 15:18:33,0,0,0
2021-09-01 15:23:30,0,0,0
2021-09-01 15:28:31,0,0,0
2021-09-01 15:33:32,0,0,0
2021-09-01 15:38:33,0,0,0
2021-09-01 15:43:31,0,0,0
2021-09-01 15:48:32,0,0,0
