time,circuit-breaker-total-power,evse-circuit-breaker-total-power,circuit-breaker-energy,evse-circuit-breaker-energy
2021-08-10 00:00:00,0,0,0,0
2021-08-10 00:05:00,0,0,0,0
2021-08-10 00:10:00,0,0,0,0
2021-08-10 00:15:00,0,0,0,0
2021-08-10 00:20:00,0,0,0,0
2021-08-10 00:25:00,0,0,0,0
2021-08-10 00:30:00,0,0,0,0
2021-08-10 00:35:00,0,0,0,0
2021-08-10 00:40:00,0,0,0,0
2021-08-10 00:45:00,0,0,0,0
2021-08-10 00:50:00,0,0,0,0
2021-08-10 00:55:00,0,0,0,0
2021-08-10 01:00:00,0,0,0,0
2021-08-10 01:05:00,0,0,0,0
2021-08-10 01:10:00,0,0,0,0
2021-08-10 01:15:00,0,0,0,0
2021-08-10 01:20:00,0,0,0,0
2021-08-10 01:25:00,0,0,0,0
2021-08-10 01:30:00,0,0,0,0
2021-08-10 01:35:00,0,0,0,0
2021-08-10 01:40:00,0,0,0,0
2021-08-10 01:45:00,0,0,0,0
2021-08-10 01:50:00,0,0,0,0
2021-08-10 01:55:00,0,0,0,0
2021-08-10 02:00:00,0,0,0,0
2021-08-10 02:05:00,0,0,0,0
2021-08-10 02:10:00,0,0,0,0
2021-08-10 02:15:00,0,0,0,0
2021-08-10 02:20:00,0,0,0,0
2021-08-10 02:25:00,0,0,0,0
2021-08-10 02:30:00,0,0,0,0
2021-08-10 02:35:00,0,0,0,0
2021-08-10 02:40:00,0,0,0,0
2021-08-10 02:45:00,0,0,0,0
2021-08-10 02:50:00,0,0,0,0
2021-08-10 02:55:00,0,0,0,0
2021-08-10 03:00:00,0,0,0,0
2021-08-10 03:05:00,0,0,0,0
2021-08-10 03:10:00,0,0,0,0
2021-08-10 03:15:00,0,0,0,0
2021-08-10 03:20:00,0,0,0,0
2021-08-10 03:25:00,0,0,0,0
2021-08-10 03:30:00,0,0,0,0
2021-08-10 03:35:00,0,0,0,0
2021-08-10 03:40:00,0,0,0,0
2021-08-10 03:45:00,0,0,0,0
2021-08-10 03:50:00,0,0,0,0
2021-08-10 03:55:00,0,0,0,0
2021-08-10 04:00:00,0,0,0,0
2021-08-10 04:05:00,0,0,0,0
2021-08-10 04:10:00,0,0,0,0
2021-08-10 04:15:00,0,0,0,0
2021-08-10 04:20:00,0,0,0,0
2021-08-10 04:25:00,0,0,0,0
2021-08-10 04:30:00,0,0,0,0
2021-08-10 04:35:00,0,0,0,0
2021-08-10 04:40:00,0,0,0,0
2021-08-10 04:45:00,0,0,0,0
2021-08-10 04:50:00,0,0,0,0
2021-08-10 04:55:00,0,0,0,0
2021-08-10 05:00:00,0,0,0,0
2021-08-10 05:05:00,0,0,0,0
2021-08-10 05:10:00,0,0,0,0
2021-08-10 05:15:00,0,0,0,0
2021-08-10 05:20:00,0,0,0,0
2021-08-10 05:25:00,0,0,0,0
2021-08-10 05:30:00,0,0,0,0
2021-08-10 05:35:00,0,0,0,0
2021-08-10 05:40:00,0,0,0,0
2021-08-10 05:45:00,0,0,0,0
2021-08-10 05:50:00,0,0,0,0
2021-08-10 05:55:00,0.215832954,0,0.01798608,0
2021-08-10 06:00:00,0.3694729,0,0.048775488,0
2021-08-10 06:05:00,0.409625336,0,0.082910933,0
2021-08-10 06:10:00,0.41407753,0,0.117417393,0
2021-08-10 06:15:00,0.415863159,0,0.152072657,0
2021-08-10 06:20:00,0.4206866,0,0.187129873,0
2021-08-10 06:25:00,0.424279694,0,0.222486514,0
2021-08-10 06:30:00,0.42761618,0,0.258121196,0
2021-08-10 06:35:00,0.389378922,0,0.29056944,0
2021-08-10 06:40:00,0.02434456,0,0.292598153,0
2021-08-10 06:40:00,0,0,0.292598153,0
2021-08-10 06:45:00,0,0,0.292598153,0
2021-08-10 06:50:00,0.008863209,0,0.293336754,0
2021-08-10 06:55:00,0.343224319,0,0.32193878,0
2021-08-10 07:00:00,0.361750595,0,0.352084663,0
2021-08-10 07:05:00,0.366292648,0,0.382609051,0
2021-08-10 07:10:00,0.369613831,0,0.413410203,0
2021-08-10 07:15:00,0.372810181,0,0.444477718,0
2021-08-10 07:20:00,0.377957489,0,0.475974176,0
2021-08-10 07:25:00,0.381570679,0,0.507771732,0
2021-08-10 07:30:00,0.385773941,0,0.539919561,0
2021-08-10 07:35:00,0.388847061,0,0.572323482,0
2021-08-10 07:40:00,0.392555161,0,0.605036412,0
2021-08-10 07:45:00,0.396063141,0,0.638041674,0
2021-08-10 07:50:00,0.399729111,0,0.671352433,0
2021-08-10 07:55:00,0.402260986,0,0.704874182,0
2021-08-10 08:00:00,0.404956558,0,0.738620562,0
2021-08-10 08:05:00,0.408317108,0,0.772646988,0
2021-08-10 08:10:00,0.413060379,0,0.807068686,0
2021-08-10 08:15:00,0.415971466,0,0.841732975,0
2021-08-10 08:20:00,0.419599655,0,0.876699613,0
2021-08-10 08:25:00,0.423569183,0,0.911997045,0
2021-08-10 08:30:00,0.426431641,0,0.947533015,0
2021-08-10 08:35:00,0.417290421,0,0.982307216,0
2021-08-10 08:40:00,0.028443352,0,0.984677496,0
2021-08-10 08:45:00,0,0,0.984677496,0
2021-08-10 08:50:00,0,0,0.984677496,0
2021-08-10 08:55:00,0,0,0.984677496,0
2021-08-10 09:00:00,0,0,0.984677496,0
2021-08-10 09:05:00,0,0,0.984677496,0
2021-08-10 09:10:00,0,0,0.984677496,0
2021-08-10 09:15:00,0,0,0.984677496,0
2021-08-10 09:20:00,0,0,0.984677496,0
2021-08-10 09:25:00,0,0,0.984677496,0
2021-08-10 09:30:00,0,0,0.984677496,0
2021-08-10 09:35:00,0,0,0.984677496,0
2021-08-10 09:40:00,0,0,0.984677496,0
2021-08-10 09:45:00,0,0,0.984677496,0
2021-08-10 09:50:00,0,0,0.984677496,0
2021-08-10 09:55:00,0,0,0.984677496,0
2021-08-10 10:00:00,0,0,0.984677496,0
2021-08-10 10:05:00,0,0,0.984677496,0
2021-08-10 10:10:00,0,0,0.984677496,0
2021-08-10 10:15:00,0,0,0.984677496,0
2021-08-10 10:20:00,0,0,0.984677496,0
2021-08-10 10:25:00,0,0,0.984677496,0
2021-08-10 10:30:00,0,0,0.984677496,0
2021-08-10 10:35:00,0,0,0.984677496,0
2021-08-10 10:40:00,0,0,0.984677496,0
2021-08-10 10:45:00,0,0,0.984677496,0
2021-08-10 10:50:00,0,0,0.984677496,0
2021-08-10 10:55:00,0,0,0.984677496,0
2021-08-10 11:00:00,0,0,0.984677496,0
2021-08-10 11:05:00,0,0,0.984677496,0
2021-08-10 11:10:00,0,0,0.984677496,0
2021-08-10 11:15:00,0,0,0.984677496,0
2021-08-10 11:20:00,0,0,0.984677496,0
2021-08-10 11:25:00,0,0,0.984677496,0
2021-08-10 11:30:00,0,0,0.984677496,0
2021-08-10 11:35:00,0,0,0.984677496,0
2021-08-10 11:40:00,0,0,0.984677496,0
2021-08-10 11:45:00,0,0,0.984677496,0
2021-08-10 11:50:00,0,0,0.984677496,0
2021-08-10 11:55:00,0,0,0.984677496,0
2021-08-10 12:00:00,0,0,0.984677496,0
2021-08-10 12:05:00,0,0,0.984677496,0
2021-08-10 12:10:00,0,0,0.984677496,0
2021-08-10 12:15:00,0,0,0.984677496,0
2021-08-10 12:20:00,0,0,0.984677496,0
2021-08-10 12:25:00,0,0,0.984677496,0
2021-08-10 12:30:00,0,0,0.984677496,0
2021-08-10 12:35:00,0,0,0.984677496,0
2021-08-10 12:40:00,0,0,0.984677496,0
2021-08-10 12:45:00,0,0,0.984677496,0
2021-08-10 12:50:00,0,0,0.984677496,0
2021-08-10 12:55:00,0,0,0.984677496,0
2021-08-10 13:00:00,0,0,0.984677496,0
2021-08-10 13:05:00,0,0,0.984677496,0
2021-08-10 13:10:00,0,0,0.984677496,0
2021-08-10 13:15:00,0,0,0.984677496,0
2021-08-10 13:20:00,0,0,0.984677496,0
2021-08-10 13:25:00,0,0,0.984677496,0
2021-08-10 13:30:00,0,0,0.984677496,0
2021-08-10 13:35:00,0,0,0.984677496,0
2021-08-10 13:40:00,0,0,0.984677496,0
2021-08-10 13:45:00,0,0,0.984677496,0
2021-08-10 13:50:00,0,0,0.984677496,0
2021-08-10 13:55:00,0,0,0.984677496,0
2021-08-10 14:00:00,0,0,0.984677496,0
2021-08-10 14:05:00,0,0,0.984677496,0
2021-08-10 14:10:00,0,0,0.98467866,0
2021-08-10 14:15:00,0,0,0.999217696,0
2021-08-10 14:20:00,0,0,1.02911959,0
2021-08-10 14:25:00,0,0,1.063964696,0
2021-08-10 14:30:00,0,0,1.099696293,0
2021-08-10 14:35:00,0,0,1.119757386,0
2021-08-10 14:40:00,0,0,1.120449336,0
2021-08-10 14:45:00,0,0,1.120449336,0
2021-08-10 14:50:00,0,0,1.120449336,0
2021-08-10 14:55:00,0,0,1.120449336,0
2021-08-10 15:00:00,0,0,1.120449336,0
2021-08-10 15:05:00,0,0,1.120449336,0
2021-08-10 15:10:00,0,0,1.120449336,0
2021-08-10 15:15:00,0,0,1.120449336,0
2021-08-10 15:20:00,0,0,1.120449336,0
