timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Tue Aug 17 00:00:02 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:01:02 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:02:03 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:03:03 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:04:04 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:05:05 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:06:05 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:07:06 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:08:06 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:09:07 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:10:08 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:11:08 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:12:09 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:13:09 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:14:10 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:15:11 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:16:11 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:17:12 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:18:12 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:19:13 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:20:13 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:21:14 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:22:15 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:23:15 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:24:16 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:25:16 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:26:17 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:27:18 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:28:18 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Tue Aug 17 00:29:19 2021, 0, 6081, 0, 6, 3630, 0, 7, 0, 0, 0, 0
