timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Tue Aug 10 00:00:19 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:01:20 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:02:20 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:03:21 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:04:22 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:05:22 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:06:23 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:07:23 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:08:24 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:09:24 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:10:25 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:11:26 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:12:26 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:13:27 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:14:27 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:15:28 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:16:28 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:17:29 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:18:30 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:19:30 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:20:31 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:21:31 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:22:32 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:23:33 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:24:33 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:25:34 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:26:34 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:27:35 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:28:36 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:29:36 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:30:37 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:31:37 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:32:38 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:33:39 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:34:39 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:35:40 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:36:40 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:37:41 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:38:42 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:39:42 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:40:43 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:41:43 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:42:44 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:43:44 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:44:45 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:45:45 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:46:46 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:47:46 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:48:47 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:49:48 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:50:48 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:51:49 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:52:49 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:53:50 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:54:50 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:55:51 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:56:52 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:57:52 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 00:58:53 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 00:59:53 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:00:54 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:01:55 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:02:55 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:03:56 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:04:56 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:05:57 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:06:58 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:07:58 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:08:59 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:09:59 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:11:00 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:12:00 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:13:01 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:14:02 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:15:02 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:16:03 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:17:03 2021,0,143,0,6,3630,0,7,150,0,0,0
Tue Aug 10 01:18:04 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:19:04 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:20:05 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:21:06 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:22:06 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:23:07 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:24:07 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:25:08 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:26:08 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:27:09 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:28:10 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:29:10 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:30:11 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:31:11 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:32:12 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:33:12 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:34:13 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:35:14 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:36:14 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:37:15 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:38:15 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:39:16 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:40:17 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:41:17 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:42:18 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:43:18 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:44:19 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:45:20 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:46:20 2021,0,143,0,6,3630,0,7,300,0,0,0
Tue Aug 10 01:47:21 2021,0,143,0,6,3630,0,7,300,0,0,0
